start,end,avg_speed
2018-08-16T23:00:00.000Z,2018-08-16T23:05:00.000Z,83.14
2018-08-14T10:05:00.000Z,2018-08-14T10:10:00.000Z,0.0
2018-08-17T00:20:00.000Z,2018-08-17T00:25:00.000Z,0.0
2018-08-14T04:25:00.000Z,2018-08-14T04:30:00.000Z,0.0
2018-08-16T05:30:00.000Z,2018-08-16T05:35:00.000Z,0.0
2018-08-16T07:30:00.000Z,2018-08-16T07:35:00.000Z,0.0
2018-08-16T17:15:00.000Z,2018-08-16T17:20:00.000Z,198.81
2018-08-17T02:15:00.000Z,2018-08-17T02:20:00.000Z,153.87
2018-08-17T05:40:00.000Z,2018-08-17T05:45:00.000Z,0.0
2018-08-14T10:30:00.000Z,2018-08-14T10:35:00.000Z,0.0
2018-08-16T15:25:00.000Z,2018-08-16T15:30:00.000Z,15.74
2018-08-16T23:30:00.000Z,2018-08-16T23:35:00.000Z,0.0
2018-08-17T01:30:00.000Z,2018-08-17T01:35:00.000Z,0.0
2018-08-16T09:25:00.000Z,2018-08-16T09:30:00.000Z,14.86
2018-08-16T13:15:00.000Z,2018-08-16T13:20:00.000Z,0.0
2018-08-16T23:55:00.000Z,2018-08-17T00:00:00.000Z,0.0
2018-08-17T09:00:00.000Z,2018-08-17T09:05:00.000Z,8.28
2018-08-14T11:50:00.000Z,2018-08-14T11:55:00.000Z,0.0
2018-08-17T09:15:00.000Z,2018-08-17T09:20:00.000Z,0.0
2018-08-17T11:25:00.000Z,2018-08-17T11:30:00.000Z,113.45
2018-08-16T09:50:00.000Z,2018-08-16T09:55:00.000Z,0.0
2018-08-17T08:40:00.000Z,2018-08-17T08:45:00.000Z,195.4
2018-08-14T09:25:00.000Z,2018-08-14T09:30:00.000Z,0.0
2018-08-14T07:30:00.000Z,2018-08-14T07:35:00.000Z,0.0
2018-08-16T14:35:00.000Z,2018-08-16T14:40:00.000Z,65.66
2018-08-17T16:00:00.000Z,2018-08-17T16:05:00.000Z,0.0
2018-08-13T21:05:00.000Z,2018-08-13T21:10:00.000Z,0.0
2018-08-14T11:00:00.000Z,2018-08-14T11:05:00.000Z,0.0
2018-08-16T14:25:00.000Z,2018-08-16T14:30:00.000Z,0.0
2018-08-17T08:15:00.000Z,2018-08-17T08:20:00.000Z,38.76
2018-08-14T09:40:00.000Z,2018-08-14T09:45:00.000Z,0.0
2018-08-17T07:30:00.000Z,2018-08-17T07:35:00.000Z,0.0
2018-08-16T08:30:00.000Z,2018-08-16T08:35:00.000Z,9.97
2018-08-16T16:15:00.000Z,2018-08-16T16:20:00.000Z,0.0
2018-08-17T00:15:00.000Z,2018-08-17T00:20:00.000Z,0.0
2018-08-17T14:45:00.000Z,2018-08-17T14:50:00.000Z,55.13
2018-08-17T14:50:00.000Z,2018-08-17T14:55:00.000Z,0.0
2018-08-16T07:25:00.000Z,2018-08-16T07:30:00.000Z,0.0
2018-08-17T00:35:00.000Z,2018-08-17T00:40:00.000Z,13.06
2018-08-17T17:40:00.000Z,2018-08-17T17:45:00.000Z,0.0
2018-08-16T09:00:00.000Z,2018-08-16T09:05:00.000Z,36.77
2018-08-16T13:55:00.000Z,2018-08-16T14:00:00.000Z,0.0
2018-08-16T14:20:00.000Z,2018-08-16T14:25:00.000Z,0.0
2018-08-14T03:55:00.000Z,2018-08-14T04:00:00.000Z,0.0
2018-08-16T20:05:00.000Z,2018-08-16T20:10:00.000Z,208.66
2018-08-14T03:00:00.000Z,2018-08-14T03:05:00.000Z,0.0
2018-08-14T04:40:00.000Z,2018-08-14T04:45:00.000Z,0.0
2018-08-17T10:00:00.000Z,2018-08-17T10:05:00.000Z,0.0
2018-08-16T08:05:00.000Z,2018-08-16T08:10:00.000Z,108.77
2018-08-16T20:10:00.000Z,2018-08-16T20:15:00.000Z,215.1
2018-08-17T14:10:00.000Z,2018-08-17T14:15:00.000Z,125.29
2018-08-14T04:00:00.000Z,2018-08-14T04:05:00.000Z,0.0
2018-08-16T14:05:00.000Z,2018-08-16T14:10:00.000Z,98.04
2018-08-16T16:30:00.000Z,2018-08-16T16:35:00.000Z,65.15
2018-08-17T00:30:00.000Z,2018-08-17T00:35:00.000Z,43.25
2018-08-16T11:50:00.000Z,2018-08-16T11:55:00.000Z,35.02
2018-08-16T12:55:00.000Z,2018-08-16T13:00:00.000Z,0.0
2018-08-16T18:25:00.000Z,2018-08-16T18:30:00.000Z,0.0
2018-08-17T14:25:00.000Z,2018-08-17T14:30:00.000Z,169.53
2018-08-17T16:15:00.000Z,2018-08-17T16:20:00.000Z,29.62
2018-08-13T20:35:00.000Z,2018-08-13T20:40:00.000Z,0.0
2018-08-14T09:15:00.000Z,2018-08-14T09:20:00.000Z,0.0
2018-08-16T06:15:00.000Z,2018-08-16T06:20:00.000Z,75.38
2018-08-17T00:25:00.000Z,2018-08-17T00:30:00.000Z,0.0
